"name" "mbid"
"244" "Joni Mitchell" "a6de8ef9-b1a1-4756-97aa-481bbb8a4069"
"245" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"246" "Elvis Costello" "02f1d12d-b733-47f1-aba6-f4cc6d290eb7"
"247" "Fleetwood Mac" "bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"248" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"249" "Elvis Costello" "02f1d12d-b733-47f1-aba6-f4cc6d290eb7"
"250" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"251" "Joni Mitchell" "a6de8ef9-b1a1-4756-97aa-481bbb8a4069"
"252" "Emmylou Harris" "35ef61ca-43db-4772-ba27-0489e9ebcb69"
"253" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"254" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"255" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"256" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"257" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"258" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"259" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"260" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"261" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"262" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"263" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"264" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"265" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"266" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"267" "Emmylou Harris" "35ef61ca-43db-4772-ba27-0489e9ebcb69"
"268" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"269" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"270" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"271" "Wurttemberg Chamber Orchestra" NA
"272" "Jurgis Grinkiavichius" "e36c8e3d-3d4c-4b70-a003-07acf3a8db7f"
"273" "Moravian Trio" "ad17a0dc-a5f6-4081-a48a-8d5ce3dca890"
"274" "Vienna Academy Chorus <U+0026> Orchestra" NA
"275" "Արամ Խաչատրյան" "018f78a5-0946-4044-b536-f97566396f60"
"276" "Pietro Mascagni" "1749c93d-914a-4ac5-bb6f-45a1e4643e3d"
"277" "Wurttemberg Chamber Orchestra" NA
"278" "Jurgis Grinkiavichius" "e36c8e3d-3d4c-4b70-a003-07acf3a8db7f"
"279" "Moravian Trio" "ad17a0dc-a5f6-4081-a48a-8d5ce3dca890"
"280" "Vienna Academy Chorus <U+0026> Orchestra" NA
"281" "George Gershwin" "65744963-191a-44ef-a3c7-b693a808a158"
"282" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"283" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"284" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"285" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
"286" "Bob Dylan" "25144665-e9ac-416f-aba3-0c8b4ee547d5"
